date,underlying,expiry,strategy_type,legs,strategy_id
2024-10-03,NIFTY,2024-10-03 00:00:00,Bull Call Spread,25250.0-CE-25;25800.0-CE--25,20241003_NIFTY_2024-10-03 00:00:00_Bull Call Spread_25250.0_CE_1|25800.0_CE_-1
2024-10-03,NIFTY,2024-10-03 00:00:00,Bear Put Spread,25250.0-PE-25;25900.0-PE--25,20241003_NIFTY_2024-10-03 00:00:00_Bear Put Spread_25250.0_PE_1|25900.0_PE_-1
2024-10-04,NIFTY,2024-10-10 00:00:00,Strangle,25500.0-CE--25;24600.0-PE--25,20241004_NIFTY_2024-10-10 00:00:00_Strangle_25500.0_CE_-1|24600.0_PE_-1
2024-10-07,NIFTY,2024-10-10 00:00:00,Strangle,25200.0-CE--25;24600.0-PE--25,20241007_NIFTY_2024-10-10 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1
2024-10-07,NIFTY,2024-10-10 00:00:00,Naked Call Sell,25500.0-CE--25,20241007_NIFTY_2024-10-10 00:00:00_Naked Call Sell_25500.0_CE_-1
2024-10-08,NIFTY,2024-10-10 00:00:00,Strangle,25200.0-CE--25;24600.0-PE--25,20241008_NIFTY_2024-10-10 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1
2024-10-09,NIFTY,2024-10-10 00:00:00,Strangle,25200.0-CE--25;24600.0-PE--25,20241009_NIFTY_2024-10-10 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1
2024-10-14,NIFTY,2024-10-17 00:00:00,Strangle,25350.0-CE--25;24750.0-PE--25,20241014_NIFTY_2024-10-17 00:00:00_Strangle_25350.0_CE_-1|24750.0_PE_-1
2024-10-15,NIFTY,2024-10-17 00:00:00,Strangle,25350.0-CE--25;24750.0-PE--25,20241015_NIFTY_2024-10-17 00:00:00_Strangle_25350.0_CE_-1|24750.0_PE_-1
2024-10-16,NIFTY,2024-10-17 00:00:00,Strangle,25200.0-CE--25;24750.0-PE--25,20241016_NIFTY_2024-10-17 00:00:00_Strangle_25200.0_CE_-1|24750.0_PE_-1
2024-10-16,NIFTY,2024-10-17 00:00:00,Strangle,25350.0-CE--25;24900.0-PE--25,20241016_NIFTY_2024-10-17 00:00:00_Strangle_25350.0_CE_-1|24900.0_PE_-1
2024-10-17,NIFTY,2024-10-17 00:00:00,Strangle,25200.0-CE--25;24900.0-PE--25,20241017_NIFTY_2024-10-17 00:00:00_Strangle_25200.0_CE_-1|24900.0_PE_-1
2024-10-18,NIFTY,2024-10-24 00:00:00,Naked Call Sell,25000.0-CE--25,20241018_NIFTY_2024-10-24 00:00:00_Naked Call Sell_25000.0_CE_-1
2024-10-21,NIFTY,2024-10-24 00:00:00,Naked Call Sell,25000.0-CE--25,20241021_NIFTY_2024-10-24 00:00:00_Naked Call Sell_25000.0_CE_-1
2024-10-22,NIFTY,2024-10-24 00:00:00,Naked Call Sell,25000.0-CE--25,20241022_NIFTY_2024-10-24 00:00:00_Naked Call Sell_25000.0_CE_-1
2024-10-23,NIFTY,2024-10-24 00:00:00,Strangle,24750.0-CE--25;24300.0-PE--25,20241023_NIFTY_2024-10-24 00:00:00_Strangle_24750.0_CE_-1|24300.0_PE_-1
2024-10-23,NIFTY,2024-10-24 00:00:00,Naked Call Sell,25000.0-CE--25,20241023_NIFTY_2024-10-24 00:00:00_Naked Call Sell_25000.0_CE_-1
2024-10-24,NIFTY,2024-10-24 00:00:00,Strangle,24750.0-CE--25;24300.0-PE--25,20241024_NIFTY_2024-10-24 00:00:00_Strangle_24750.0_CE_-1|24300.0_PE_-1
2024-10-25,NIFTY,2024-10-31 00:00:00,Strangle,24500.0-CE--25;23800.0-PE--25,20241025_NIFTY_2024-10-31 00:00:00_Strangle_24500.0_CE_-1|23800.0_PE_-1
2024-10-28,NIFTY,2024-10-31 00:00:00,Strangle,24500.0-CE--25;23800.0-PE--25,20241028_NIFTY_2024-10-31 00:00:00_Strangle_24500.0_CE_-1|23800.0_PE_-1
2024-10-29,NIFTY,2024-10-31 00:00:00,Strangle,24500.0-CE--25;23800.0-PE--25,20241029_NIFTY_2024-10-31 00:00:00_Strangle_24500.0_CE_-1|23800.0_PE_-1
2024-10-30,NIFTY,2024-10-31 00:00:00,Strangle,24500.0-CE--25;23800.0-PE--25,20241030_NIFTY_2024-10-31 00:00:00_Strangle_24500.0_CE_-1|23800.0_PE_-1
2024-10-30,NIFTY,2024-10-31 00:00:00,Strangle,24600.0-CE--25;24250.0-PE--25,20241030_NIFTY_2024-10-31 00:00:00_Strangle_24600.0_CE_-1|24250.0_PE_-1
2024-10-31,NIFTY,2024-10-31 00:00:00,Strangle,24600.0-CE--25;24250.0-PE--25,20241031_NIFTY_2024-10-31 00:00:00_Strangle_24600.0_CE_-1|24250.0_PE_-1
